City_ID,City,Country,Lat,Lng,Description,Max Temp,Humidity,Cloudiness,Wind Speed
113,Bonthe,SL,7.5264,-12.505,broken clouds,84.29,72,74,9.91
114,Saint-Gaudens,FR,43.0833,0.6667,few clouds,60.8,63,20,3.44
115,Thoen,TH,17.6129,99.2161,broken clouds,80.01,99,75,2.13
116,Norman Wells,CA,65.282,-126.8329,light snow,-9.4,64,90,10.36
117,Atuona,PF,-9.8,-139.0333,broken clouds,80.55,75,77,18.63
118,Hilo,US,19.7297,-155.09,clear sky,71.6,68,1,3.44
119,Barrow,US,71.2906,-156.7887,few clouds,-13.0,77,20,11.5
120,Laguna,US,38.421,-121.4238,clear sky,64.0,55,1,5.75
121,Beringovskiy,RU,63.05,179.3167,light snow,5.52,93,100,19.82
122,Constitucion,CL,-35.3333,-72.4167,clear sky,63.41,56,0,12.88
123,Chuy,UY,-33.6971,-53.4616,moderate rain,67.64,96,100,9.26
124,Lodja,CD,-3.4833,23.4333,light rain,73.2,84,99,3.36
125,Ulaangom,MN,49.9811,92.0667,overcast clouds,32.34,50,88,14.72
126,Deputatskiy,RU,69.3,139.9,clear sky,-23.89,95,8,2.28
127,Katsuura,JP,35.1333,140.3,few clouds,50.0,66,20,10.36
128,Wuhu,CN,31.3366,118.3755,light rain,57.2,72,0,8.95
129,Flin Flon,CA,54.7682,-101.865,broken clouds,37.4,65,75,12.66
130,Moron,AR,-34.6534,-58.6198,light rain,70.0,98,100,5.01
131,Mackay,AU,-21.15,149.2,few clouds,71.6,100,13,4.61
132,Udachnyy,RU,66.4167,112.4,few clouds,-17.39,100,22,5.82
133,Ixtapa,MX,20.7,-105.2,clear sky,78.8,73,1,11.5
134,Fortuna,US,40.5982,-124.1573,few clouds,55.99,62,20,11.5
135,Celestun,MX,20.8667,-90.4,clear sky,89.44,57,2,8.43
136,Hamilton,US,39.1834,-84.5333,moderate rain,64.0,88,90,12.66
137,Winter Springs,US,28.6989,-81.3081,few clouds,89.01,40,20,10.36
138,Ahipara,NZ,-35.1667,173.1667,few clouds,62.96,94,23,0.74
139,Tura,IN,25.5198,90.2201,clear sky,73.49,65,0,6.6
140,Taltal,CL,-25.4,-70.4833,overcast clouds,68.31,71,95,6.08
141,Tautira,PF,-17.7333,-149.15,light rain,82.4,69,75,11.83
142,Broken Hill,AU,-31.95,141.4333,clear sky,51.8,66,0,9.22
143,Port Elizabeth,ZA,-33.918,25.5701,broken clouds,62.6,94,75,4.61
144,Ancud,CL,-41.8697,-73.8203,broken clouds,57.99,82,75,10.36
145,Yellowknife,CA,62.456,-114.3525,few clouds,6.01,55,20,12.66
146,Cobourg,DE,50.2667,10.9667,overcast clouds,50.0,84,100,3.69
147,Morgan City,US,29.6994,-91.2068,scattered clouds,73.4,78,40,3.44
148,Anjar,IN,23.1333,70.0167,clear sky,83.19,30,0,12.01
149,Muzhi,RU,65.3667,64.6667,few clouds,30.15,85,14,9.95
150,Saint-Joseph,RE,-21.3667,55.6167,light rain,80.6,69,90,8.32
151,Anadyr,RU,64.75,177.4833,clear sky,3.2,72,0,8.95
152,Mikuni,JP,36.2171,136.1519,clear sky,37.4,93,0,2.3
153,Kulhudhuffushi,MV,6.6221,73.07,scattered clouds,83.43,67,45,2.46
154,Vestmanna,FO,62.1564,-7.1664,light snow,30.2,55,40,11.5
155,Yeniseysk,RU,58.4497,92.1703,few clouds,24.94,95,12,2.1
156,Cabo San Lucas,MX,22.8909,-109.9124,scattered clouds,81.0,73,40,11.5
157,Perth Amboy,US,40.5068,-74.2654,broken clouds,68.0,55,75,6.91
158,Nikolskoye,RU,59.7035,30.7861,scattered clouds,37.0,86,40,2.24
159,Ambulu,ID,-8.345,113.6058,scattered clouds,76.33,90,31,2.77
160,Avera,US,33.194,-82.5271,scattered clouds,75.2,64,40,10.36
161,Ponta Do Sol,PT,32.6667,-17.1,broken clouds,64.99,70,53,3.0
162,Anderson,US,34.5334,-82.6499,light rain,68.0,83,90,11.5
163,Vaini,TO,-21.2,-175.2,few clouds,68.0,94,20,3.44
164,Bengkulu,ID,-3.8004,102.2655,overcast clouds,76.08,89,100,4.09
165,Araouane,ML,18.9048,-3.5265,clear sky,97.38,7,0,6.24
166,Biak,ID,-0.9131,122.8766,overcast clouds,76.62,83,100,1.16
167,Chokurdakh,RU,70.6333,147.9167,overcast clouds,-33.03,100,85,3.53
168,Redmond,US,47.674,-122.1215,overcast clouds,46.0,72,85,3.6
169,Esperance,AU,-33.8667,121.9,broken clouds,57.2,88,78,10.36
170,Soyo,AO,-6.1349,12.3689,overcast clouds,79.36,82,100,6.44
171,Aykhal,RU,66.0,111.5,overcast clouds,-10.07,100,88,7.43
172,Ihosy,MG,-22.4,46.1167,broken clouds,69.12,85,66,5.55
173,Kavieng,PG,-2.5744,150.7967,light rain,78.51,86,100,13.4
174,Bosaso,SO,11.2842,49.1816,clear sky,80.26,62,0,4.03
175,Suleja,NG,9.1758,7.1808,few clouds,95.0,41,20,4.61
176,Sarangani,PH,5.4033,125.4636,scattered clouds,82.58,74,47,8.23
177,Sabang,ID,5.8933,95.3214,broken clouds,83.86,70,70,8.23
178,Namibe,AO,-15.1961,12.1522,few clouds,79.32,80,18,8.1
179,San Esteban,HN,15.2,-85.75,scattered clouds,93.2,43,40,4.61
180,Hobyo,SO,5.3505,48.5268,few clouds,83.03,65,13,14.52
181,Lavrentiya,RU,65.5833,-171.0,overcast clouds,-6.56,86,100,12.37
182,Bambous Virieux,MU,-20.3428,57.7575,scattered clouds,80.01,78,40,11.5
183,Ammon,US,43.4696,-111.9666,clear sky,57.0,28,1,28.77
184,Kahului,US,20.8947,-156.47,few clouds,71.6,78,20,5.75
185,Hay River,CA,60.8156,-115.7999,overcast clouds,-0.4,60,93,11.5
186,Kurkino,RU,53.4257,38.6582,clear sky,42.53,50,0,0.74
187,Lethem,GY,3.3803,-59.7968,overcast clouds,89.08,53,85,6.31
188,Zaysan,KZ,47.4667,84.8667,clear sky,41.27,43,0,4.81
189,Misratah,LY,32.3754,15.0925,overcast clouds,59.94,68,100,20.29
190,Denpasar,ID,-8.65,115.2167,few clouds,80.6,89,20,4.61
191,Yantal,RU,56.8471,105.2542,broken clouds,9.82,97,71,2.8
192,Maragogi,BR,-9.0122,-35.2225,overcast clouds,80.4,81,99,10.71
193,Mahajanga,MG,-15.7167,46.3167,light rain,77.0,94,20,2.3
