City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
385,Mayo,US,70.0,clear sky,38.8876,-76.5119,Resorts Resource Group International
388,Lubao,PH,77.0,broken clouds,14.9167,120.55,Hacienda Gracia
391,Camp Verde,US,77.0,clear sky,34.5636,-111.8543,Days Inn by Wyndham Camp Verde Arizona
392,Rocha,UY,66.7,moderate rain,-34.4833,-54.3333,Beleza Pura B&B
393,Saldanha,ZA,66.2,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
394,Luena,AO,63.12,overcast clouds,-11.7833,19.9167,Hotel Kandamba
400,Tulsa,US,57.99,broken clouds,36.1001,-95.9003,Hilton Garden Inn Tulsa Midtown
401,Labuhan,ID,78.37,moderate rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
405,Pahrump,US,75.99,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
406,Lubu,CN,73.99,light rain,23.1742,112.2809,Classic View Hotel
407,Kon Tum,VN,67.57,broken clouds,14.35,108.0,Hoa đà spa- homestay
409,Tadepallegudem,IN,79.05,scattered clouds,16.8333,81.5,Hotel Selection Grand
412,Nabire,ID,74.84,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
413,Ambilobe,MG,74.61,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
415,Orcopampa,PE,55.56,overcast clouds,-15.2661,-72.3417,Happy Wasi
420,Ulladulla,AU,57.99,clear sky,-35.35,150.4667,Sandpiper Motel
425,Salur,IN,79.39,scattered clouds,18.5333,83.2167,Thammana Bhagavan
426,Pisco,PE,75.0,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
427,Jinchang,CN,53.26,overcast clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
430,Pemangkat,ID,78.69,broken clouds,1.1667,108.9667,Kost H.Syamsuddin
431,Ojinaga,MX,78.01,clear sky,29.5667,-104.4167,Suites Las Palmas
432,Broome,US,73.0,broken clouds,42.2506,-75.833,Chenango Valley State Park
435,Apahida,RO,50.0,clear sky,46.8167,23.75,Han km 17
436,Kaeo,NZ,63.0,broken clouds,-35.1,173.7833,Bushido Lodge
437,Boyolangu,ID,75.9,light rain,-8.1181,111.8935,Yos ega cv
440,Manggar,ID,78.98,scattered clouds,-2.8833,108.2667,Guest Hotel
444,Erenhot,CN,50.67,broken clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
446,Jalu,LY,64.92,broken clouds,29.0331,21.5482,صاحبة الفخامة
449,Maldonado,UY,68.0,moderate rain,-34.6667,-54.9167,La Cimarrona
451,Ramat Yishay,IL,55.4,scattered clouds,32.7006,35.1797,Zimmer & Spa Kesem Hamaga
454,Half Moon Bay,US,61.0,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
455,Georgiyevka,KZ,51.8,clear sky,43.0369,74.7114,Gostinitsa Imperiya
