City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
108,Rio Grande,BR,2021-04-06 13:09:17,-32.035,-52.0986,77.0,100,40,10.36
109,New Norfolk,AU,2021-04-06 13:09:17,-42.7826,147.0587,57.99,78,20,1.01
110,Yellowknife,CA,2021-04-06 13:09:17,62.456,-114.3525,19.4,93,90,14.97
111,Isangel,VU,2021-04-06 13:09:18,-19.55,169.2667,76.23,80,70,11.48
112,Port Elizabeth,ZA,2021-04-06 13:09:18,-33.918,25.5701,66.2,77,90,14.97
113,Yar-Sale,RU,2021-04-06 13:09:18,66.8333,70.8333,30.58,94,100,15.32
114,Jhanjharpur,IN,2021-04-06 13:09:19,26.2667,86.2833,90.03,9,0,5.7
115,Warrington,GB,2021-04-06 13:04:33,53.3925,-2.5802,46.4,46,40,24.16
116,Devli,IN,2021-04-06 13:09:19,25.75,75.3833,98.06,8,2,16.73
117,Slave Lake,CA,2021-04-06 13:09:19,55.2834,-114.769,32.0,80,1,2.95
118,Santiago Del Estero,AR,2021-04-06 13:09:20,-27.7951,-64.2615,73.92,80,72,6.85
119,Castro,BR,2021-04-06 13:09:20,-24.7911,-50.0119,66.83,70,94,5.46
120,Avarua,CK,2021-04-06 13:09:20,-21.2078,-159.775,80.6,74,40,13.8
121,Pangnirtung,CA,2021-04-06 13:09:20,66.1451,-65.7125,5.0,78,20,3.13
122,Port Alfred,ZA,2021-04-06 13:09:21,-33.5906,26.891,65.8,75,100,17.43
123,Airai,TL,2021-04-06 13:05:03,-8.9266,125.4092,60.39,90,45,1.66
124,Tasiilaq,GL,2021-04-06 13:09:21,65.6145,-37.6368,21.2,79,90,4.61
125,Vraca,BA,2021-04-06 13:09:21,43.8422,18.3955,33.8,80,75,17.27
126,Biltine,TD,2021-04-06 13:09:22,14.5333,20.9167,101.48,7,7,7.99
127,Antofagasta,CL,2021-04-06 13:09:22,-23.65,-70.4,73.0,82,20,10.36
128,Honiara,SB,2021-04-06 13:04:41,-9.4333,159.95,78.8,87,100,3.47
129,Kodiak,US,2021-04-06 13:09:22,57.79,-152.4072,33.8,55,90,7.63
130,Puerto Ayora,EC,2021-04-06 13:09:23,-0.7393,-90.3518,75.0,95,17,5.68
131,Mahebourg,MU,2021-04-06 13:09:23,-20.4081,57.7,86.0,70,40,8.05
132,Coahuayana,MX,2021-04-06 13:04:51,18.7333,-103.6833,66.2,88,40,3.71
133,Alpoyeca,MX,2021-04-06 13:09:23,17.6667,-98.5167,65.98,74,4,2.66
134,Hagondange,FR,2021-04-06 13:09:24,49.2513,6.1681,46.0,45,75,19.57
135,Mar Del Plata,AR,2021-04-06 13:06:42,-38.0023,-57.5575,72.0,100,90,6.91
136,Morro Bay,US,2021-04-06 13:09:24,35.3658,-120.8499,50.0,88,97,5.68
137,Yulara,AU,2021-04-06 13:09:24,-25.2406,130.9889,75.2,29,0,5.75
138,Naze,JP,2021-04-06 13:09:25,28.3667,129.4833,61.9,69,17,16.67
139,Pisco,PE,2021-04-06 13:05:07,-13.7,-76.2167,69.8,78,63,3.44
140,Maraa,BR,2021-04-06 13:09:25,-1.8333,-65.3667,74.46,96,100,1.39
141,Hasaki,JP,2021-04-06 13:09:25,35.7333,140.8333,50.0,81,40,9.22
142,Laguna,US,2021-04-06 13:09:26,38.421,-121.4238,48.0,87,1,4.61
143,Brookings,US,2021-04-06 13:06:48,44.3114,-96.7984,45.0,53,1,14.97
144,Emba,KZ,2021-04-06 13:09:26,48.8264,58.1442,55.94,49,100,15.37
145,Hilo,US,2021-04-06 13:09:26,19.7297,-155.09,66.2,88,90,8.05
146,Vitim,RU,2021-04-06 13:09:27,59.4511,112.5578,27.63,98,100,4.45
147,Faya,SA,2021-04-06 13:09:27,18.3851,42.4509,82.4,18,34,6.91
